count,speed,distance,calorie,day_time,
4740,1.2212836,3282.47,144.43999,1683590400000,
4740,1.2212836,3282.47,144.43999,1683590400000,
3106,1.2088771,2155.8599,97.84,1683676800000,
3106,1.2088771,2155.8599,97.84,1683676800000,
4563,1.217432,3168.5999,139.63998,1683763200000,
4563,1.217432,3168.5999,139.63998,1683763200000,
5290,1.2657137,3677.72,161.34998,1683849600000,
5290,1.2657137,3677.72,161.34998,1683849600000,
3219,1.1557664,2223.42,100.26999,1683936000000,
3219,1.1557664,2223.42,100.26999,1683936000000,
1952,1.1606383,1340.48,61.449997,1684022400000,
1952,1.1606383,1340.48,61.449997,1684022400000,
6751,1.187557,4631.23,210.58998,1684108800000,
6751,1.187557,4631.23,210.58998,1684108800000,
3968,1.2143112,2728.7898,123.279976,1684195200000,
3968,1.2143112,2728.7898,123.279976,1684195200000,
3741,1.1860793,2583.71,118.149994,1684281600000,
3741,1.1860793,2583.71,118.149994,1684281600000,
8923,1.2416835,6186.19,274.45996,1684368000000,
8923,1.2416835,6186.19,274.45996,1684368000000,
4115,1.2485466,2865.17,129.26999,1684454400000,
4115,1.2485466,2865.17,129.26999,1684454400000,
1406,1.1845267,963.19,45.759995,1684540800000,
1406,1.1845267,963.19,45.759995,1684540800000,
3415,1.095148,2324.52,107.71,1684627200000,
3415,1.095148,2324.52,107.71,1684627200000,
7287,1.22904,5063.72,226.25998,1684713600000,
7287,1.22904,5063.72,226.25998,1684713600000,
8512,1.2758265,5915.88,262.51996,1684800000000,
8512,1.2758265,5915.88,262.51996,1684800000000,
6368,1.2540636,4434.42,196.97998,1684886400000,
6368,1.2540636,4434.42,196.97998,1684886400000,
8897,1.2403407,6157.2603,274.03998,1684972800000,
8897,1.2403407,6157.2603,274.03998,1684972800000,
4563,1.1905557,3139.47,147.21999,1685059200000,
4563,1.1905557,3139.47,147.21999,1685059200000,
14849,1.2072183,10234.37,459.07996,1685145600000,
14849,1.2072183,10234.37,459.07996,1685145600000,
6759,1.1601117,4668.61,211.74998,1685232000000,
6759,1.1601117,4668.61,211.74998,1685232000000,
5984,1.148273,4111.6,186.06999,1685318400000,
5984,1.148273,4111.6,186.06999,1685318400000,
4354,1.1935418,3008.14,134.70999,1685404800000,
4354,1.1935418,3008.14,134.70999,1685404800000,
3857,1.0733051,2621.96,121.329994,1685491200000,
3857,1.0733051,2621.96,121.329994,1685491200000,
7883,1.1337775,5407.19,244.11995,1685577600000,
7883,1.1337775,5407.19,244.11995,1685577600000,
6933,1.2410911,4816.03,214.09999,1685664000000,
6933,1.2410911,4816.03,214.09999,1685664000000,
5710,1.2832288,3993.65,180.27998,1685750400000,
5616,1.1922231,3901.0698,176.22998,1685836800000,
5616,1.1922231,3901.0698,176.22998,1685836800000,
5710,1.2832288,3993.65,180.27998,1685750400000,
7634,1.2267429,5284.14,236.54997,1685923200000,
7634,1.2267429,5284.14,236.54997,1685923200000,
4501,1.165718,3100.17,139.48,1686009600000,
4501,1.165718,3100.17,139.48,1686009600000,
5741,1.1760722,3945.09,181.06999,1686096000000,
5741,1.1760722,3945.09,181.06999,1686096000000,
6075,1.216862,4207.4,190.69998,1686182400000,
